id,rg,cpf,nome,apartamento,telefone,mensalidadesAtrasadas,cnpjCondominio
11,246801736,359.102.486-42,Camila Costa,"ONE-NORTH RESIDENCES, 11",81 5054-3787,5,94.061.723/0001-44
12,641725802,192.436.078-04,Dr. Diogo Novaes,"ONE-NORTH RESIDENCES, 12",+55 (021) 2936 4764,10,94.061.723/0001-44
13,431820764,483.276.095-56,Marcela Cardoso,"ONE-NORTH RESIDENCES, 13",+55 (061) 5034-3642,1,94.061.723/0001-44
14,384156708,912.038.645-15,Julia da Rocha,"ONE-NORTH RESIDENCES, 14",+55 (011) 9113-0778,1,94.061.723/0001-44
15,362105741,317.954.026-52,Kaique Costela,"ONE-NORTH RESIDENCES, 15",(084) 6516 9301,5,94.061.723/0001-44
1,106574280,085.723.469-29,Breno da Conceição,"VARSITY PARK CONDOMINIUM, 1",51 4804 5841,8,91.208.356/0001-70
2,807264519,529.687.341-64,Maria Julia Azevedo,"VARSITY PARK CONDOMINIUM, 2",(041) 9010-2006,5,91.208.356/0001-70
3,673520419,107.428.569-76,Sofia Carvalho,"VARSITY PARK CONDOMINIUM, 3",0300-236-4256,1,91.208.356/0001-70
4,603287414,291.863.547-28,Luiz Gustavo Farias,"VARSITY PARK CONDOMINIUM, 4",+55 81 7981 6754,7,91.208.356/0001-70
5,603254780,210.547.936-70,Vinicius Lima,"VARSITY PARK CONDOMINIUM, 5",0900 524 0642,3,91.208.356/0001-70
6,483016573,065.489.123-06,Bernardo Costela,"VARSITY PARK CONDOMINIUM, 6",71 8556 6069,7,91.208.356/0001-70
7,023456784,951.023.876-77,Nathan Cunha,"VARSITY PARK CONDOMINIUM, 7",31 4815 3727,1,91.208.356/0001-70
8,451368277,248.075.319-05,Ian Sales,"VARSITY PARK CONDOMINIUM, 8",+55 71 7313 4474,2,91.208.356/0001-70
9,524087313,165.729.834-55,Catarina Correia,"VARSITY PARK CONDOMINIUM, 9",+55 71 3619 1868,8,91.208.356/0001-70
10,135874622,265.830.941-42,Dr. Benício Viana,"VARSITY PARK CONDOMINIUM, 10",+55 41 4608-5986,10,91.208.356/0001-70
11,057842619,943.716.280-87,Srta. Stephany Novaes,"VARSITY PARK CONDOMINIUM, 11",+55 61 0740-3877,5,91.208.356/0001-70
12,168507341,321.095.876-95,Juliana Alves,"VARSITY PARK CONDOMINIUM, 12",0500 652 6083,8,91.208.356/0001-70
13,287350460,159.602.873-40,Leonardo Gomes,"VARSITY PARK CONDOMINIUM, 13",+55 (051) 0063 0494,7,91.208.356/0001-70
14,10356827X,152.073.496-43,Rafaela Fogaça,"VARSITY PARK CONDOMINIUM, 14",11 2015 0535,1,91.208.356/0001-70
15,52743680X,902.384.517-04,Dr. Eduardo Cardoso,"VARSITY PARK CONDOMINIUM, 15",+55 31 5179-6035,7,91.208.356/0001-70
